id,total_episode_number,season,episode,scene,line_text,speaker,deleted
1,1,1,1,1,All right Jim. Your quarterlies look very good. How are things at the library?,Michael,FALSE
2,1,1,1,1,"Oh, I told you. I couldn't close it. So...",Jim,FALSE
3,1,1,1,1,"So you've come to the master for guidance? Is this what you're saying, grasshopper?",Michael,FALSE
4,1,1,1,1,"Actually, you called me in here, but yeah.",Jim,FALSE
5,1,1,1,1,"All right. Well, let me show you how it's done.",Michael,FALSE
6,1,1,1,2,"[on the phone] Yes, I'd like to speak to your office manager, please. Yes, hello. This is Michael Scott. I am the Regional Manager of Dunder Mifflin Paper Products. Just wanted to talk to you manager-a-manger. [quick cut scene] All right. Done deal. Thank you very much, sir. You're a gentleman and a scholar. Oh, I'm sorry. OK. I'm sorry. My mistake. [hangs up] That was a woman I was talking to, so... She had a very low voice. Probably a smoker, so... [Clears throat] So that's the way it's done.",Michael,FALSE
7,1,1,1,3,"I've, uh, I've been at Dunder Mifflin for 12 years, the last four as Regional Manager. If you want to come through here... See we have the entire floor. So this is my kingdom, as far as the eye can see. This is our receptionist, Pam. Pam! Pam-Pam! Pam Beesly. Pam has been with us for...  forever. Right, Pam?",Michael,FALSE
8,1,1,1,3,Well. I don't know.,Pam,FALSE
9,1,1,1,3,"If you think she's cute now, you should have seen her a couple of years ago. [growls]",Michael,FALSE
10,1,1,1,3,What?,Pam,FALSE
11,1,1,1,3,Any messages?,Michael,FALSE
12,1,1,1,3,"Uh, yeah. Just a fax.",Pam,FALSE
13,1,1,1,3,"Oh! Pam, this is from Corporate. How many times have I told you? There's a special filing cabinet for things from corporate.",Michael,FALSE
14,1,1,1,3,You haven't told me.,Pam,FALSE
15,1,1,1,3,It's called the wastepaper basket! Look at that! Look at that face.,Michael,FALSE
16,1,1,1,4,"People say I am the best boss. They go, 'God we've never worked in a place like this before. You're hilarious.' 'And you get the best out of us.' [shows the camera his WORLD'S BEST BOSS mug] I think that pretty much sums it up. I found it at Spencer Gifts.",Michael,FALSE
17,1,1,1,5,[singing] Shall I play for you? Pa rum pump um pum [Imitates heavy drumming] I have no gifts for you. Pa rum pump um pum [Imitates heavy drumming],Dwight,FALSE
18,1,1,1,6,"My job is to speak to clients on the phone about... uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it. And... I'm boring myself just talking about this.",Jim,FALSE
19,1,1,1,7,Whassup!,Michael,FALSE
20,1,1,1,7,Whassup! I still love that after seven years.,Jim,FALSE
21,1,1,1,7,Whassup!,Michael,FALSE
22,1,1,1,7,Whassup!,Dwight,FALSE
23,1,1,1,7,Whass...up!,Michael,FALSE
24,1,1,1,7,Whassup.,Dwight,FALSE
25,1,1,1,7,"[Strains, grunts] What?",Michael,FALSE
26,1,1,1,7,Nothing.,Jim,FALSE
27,1,1,1,7,OK. All right. See you later.,Michael,FALSE
28,1,1,1,7,All right. Take care.,Jim,FALSE
29,1,1,1,7,Back to work.,Michael,FALSE
30,1,1,1,8,[on her cell phone] Just before lunch. That would be great.,Jan,FALSE
31,1,1,1,9,"Corporate really doesn't really interfere with me at all. Jan Levinson Gould. [walking out of his office] Jan, hello.  I call her Hillary Rodham Clinton. Right? Not to her face, because... well, not because I'm scared of her. Because I'm not. But, um... Yeah.",Michael,FALSE
32,1,1,1,10,"Alright, was there anything you wanted to add to the agenda?",Jan,FALSE
33,1,1,1,10,Um... Me no get an agenda.,Michael,FALSE
34,1,1,1,10,What? I'm sorry?,Jan,FALSE
35,1,1,1,10,I didn't get any agenda.,Michael,FALSE
36,1,1,1,10,"Well, I faxed one over to you this morning.",Jan,FALSE
37,1,1,1,10,Really? I didn't... [looks at Pam] Did we get a fax this morning?,Michael,FALSE
38,1,1,1,10,"Uh, yeah, the one...",Pam,FALSE
39,1,1,1,10,"Why isn't it in my hand? A company runs on efficiency of communication, right? So what's the problem, Pam? Why didn't I get it?",Michael,FALSE
40,1,1,1,10,You put in the garbage can that was a special filing cabinet.,Pam,FALSE
41,1,1,1,10,"Yeah, that was a joke. That was a joke that was actually my brother's, and... It was supposed to be with bills and it doesn't work great with faxes.",Michael,FALSE
42,1,1,1,10,Do you want to look at mine?,Jan,FALSE
43,1,1,1,10,"Yeah, yeah. Lovely. Thank you.",Michael,FALSE
44,1,1,1,10,"OK. Since the last meeting, Ellen and the board have decided we can't justify a Scranton branch and a Stamford branch.",Jan,FALSE
45,1,1,1,10,OK...,Michael,FALSE
46,1,1,1,10,"Michael, don't panic.",Jan,FALSE
47,1,1,1,10,"No, no, no, no, this is good. This is good. This is fine. Excellent.",Michael,FALSE
48,1,1,1,10,"No, no, no, Michael, listen OK. Don't panic. We haven't made... We haven't decided.",Jan,FALSE
49,1,1,1,10,All the alarm bells are kind of going... ringie-dingie-ding!,Michael,FALSE
50,1,1,1,10,I've spoken to Josh in Stamford. I've told him the same as you and it's up to either him or you to convince me that your branch can incorporate the other.,Jan,FALSE
51,1,1,1,10,OK. No problem.,Michael,FALSE
52,1,1,1,10,"This does, however, mean that there is going to be downsizing.",Jan,FALSE
53,1,1,1,10,"Me no wanna hear that, Jan. Because downsizing is a bitch. It is a real bitch. And I wouldn't wish that on Josh's men. I certainly wouldn't wish it on my men. Or women, present company excluded. Sorry. Uh, is Josh concerned about downsizing himself? Not downsizing himself but is he concerned about downsizing?",Michael,FALSE
54,1,1,1,11,"Question. How long do we have to... [Telephone rings] Oh uh, Todd Packer, terrific rep. Do you mind if I take it?",Michael,FALSE
55,1,1,1,11,Go ahead.,Jan,FALSE
56,1,1,1,11,Packman.,Michel,FALSE
57,1,1,1,11,"Hey, you big queen.",Todd Packer,FALSE
58,1,1,1,11,"Oh, that's not appropriate.",Michael,FALSE
59,1,1,1,11,"Hey, is old Godzillary coming in today?",Todd Packer,FALSE
60,1,1,1,11,"Uh, I don't know what you mean.",Michael,FALSE
61,1,1,1,11,I've been meaning to ask her one question. Does the carpet match the drapes?,Todd Packer,FALSE
62,1,1,1,11,"Oh, my God! Oh! That's... horrifying. Horrible. Horrible person.",Michael,FALSE
63,1,1,1,11,So do you think we could keep a lid on this for now? I don't want to worry people unnecessarily.,Jan,FALSE
64,1,1,1,11,"No, absolutely. Under this regime, it will not leave this office. [zips his lips] Like that.",Michael,FALSE
65,1,1,1,12,So what does downsizing actually mean?,Phyllis,FALSE
66,1,1,1,12,Well...,Stanley,FALSE
67,1,1,1,13,You guys better update your resumes just like I'm doing.,Oscar,FALSE
68,1,1,1,14,I bet it's gonna be me. Probably gonna be me.,Angela,FALSE
69,1,1,1,14,"Yeah, it'll be you.",Kevin,FALSE
70,1,1,1,15,I have an important question for you.,Pam,FALSE
71,1,1,1,15,Yes?,Jim,FALSE
72,1,1,1,15,Are you going to Angela's cat party on Sunday?,Pam,FALSE
73,1,1,1,15,"Yeah, stop. That is ridiculous.",Jim,FALSE
74,1,1,1,16,"Am I going to tell them? No, I am not going to tell them. I don't see the point of that. As a doctor, you would not tell a patient if they had cancer.",Michael,FALSE
75,1,1,1,17,Hey.,Michael,FALSE
76,1,1,1,17,Hey.,Ryan,FALSE
77,1,1,1,17,This is Mr. Scott.,Pam,FALSE
78,1,1,1,17,Guilty! Guilty as charged!,Michael,FALSE
79,1,1,1,17,Ryan Howard from the temp agency. Daniqua sent me down to start today.,Ryan,FALSE
80,1,1,1,17,"Howard, like Moe Howard. Three Stooges.",Michael,FALSE
81,1,1,1,17,Yup.,Ryan,FALSE
82,1,1,1,17,"Watch this. This is Moe. Nyuck-nyuck-nyuck-nyuck-nyuck. Mee! [hold hand up for a high five] Ah, right here. Three Stooges. Oh, Pam. It's a guy thing, Pam. I'm sort of a student of comedy. Watch this. Here we go. [Yelling in cod German] I'm Hitler. Adolf Hitler. [Continues with cod German]",Michael,FALSE
83,1,1,1,18,"I don't think it would be the worst thing if they let me go because then I might... I don't think it's many little girls' dream to be a receptionist. I like to do illustrations. Um... Mostly watercolor. A few oil pencil. Um, Jim thinks they're good.",Pam,FALSE
84,1,1,1,18,Dunder Mifflin. This is Pam.,Pam,FALSE
85,1,1,1,19,"Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much. Dwight, what are you doing?",Jim,FALSE
86,1,1,1,19,What?,Dwight,FALSE
87,1,1,1,19,What are you doing?,Jim,FALSE
88,1,1,1,19,Just clearing my desk. I can't concentrate.,Dwight,FALSE
89,1,1,1,19,It's not on your desk.,Jim,FALSE
90,1,1,1,19,"It's overlapping. It's all spilling over the edge. One word, two syllables. Demarcation.",Dwight,FALSE
91,1,1,1,19,You can't do that.,Dwight,FALSE
92,1,1,1,19,Why not?,Jim,FALSE
93,1,1,1,19,Safety violation. I could fall and pierce an organ.,Dwight,FALSE
